Lon,Lat
116.373305,39.971433
116.352355,40.037563
116.282851,40.027503
116.321073,39.933918
116.263019,39.906547
116.220973,39.974141
116.369403,39.986859
116.272246,39.924092
116.234061,39.9761
116.162645,40.087655
116.299633,40.038232
116.262425,39.9499
116.284089,39.961944
116.304205,39.950921
116.23811,39.974947
116.352355,40.037563
116.329047,39.910347
116.214672,40.043972
116.334907,39.980198
116.344893,40.043436
116.395645,39.929986
116.344893,40.043436
116.214276,39.997119
116.285157,39.97297
116.321073,39.933918
116.312559,39.935657
116.351758,39.993959
116.282851,40.027503
116.290686,39.906471
116.336734,39.905997
116.436265,39.893718
116.419903,39.92505
116.120232,40.070995
116.34295,39.967828
116.373305,39.971433
116.263019,39.906547
116.319947,39.904782
116.368766,39.999248
116.309488,39.955229
116.351972,39.95589
116.324591,40.023718
116.34295,39.967828
116.318975,39.958337
116.34295,39.967828
116.258858,40.090233
116.326107,39.98334
116.306858,39.936012
116.226773,39.780801
116.3095,40.098736
116.291015,39.936222
116.325826,40.014871
116.306858,39.936012
116.320479,39.980212
116.290686,39.906471
116.309488,39.955229
116.356041,40.051078
116.334217,39.971953
116.291253,40.037694
116.222322,40.126027
116.28664,39.906439
116.358274,39.978563
116.395645,39.929986
116.333452,39.984568
116.224971,40.107097
116.292977,39.924547
116.314699,40.040604
116.309872,39.984971
116.356881,40.003136
116.521695,39.958953
116.437614,39.973362
116.54509,39.957974
116.605174,39.859341
116.444044,39.923463
116.477808,40.000279
116.595885,39.921674
116.465685,40.001201
116.48872,39.855214
116.595885,39.921674
116.494701,39.988852
116.381759,39.968704
116.448095,39.983065
116.458848,39.916342
116.520551,39.920366
116.596075,39.899495
116.427661,39.970114
116.478409,39.933517
116.521489,39.981176
116.540821,39.937
116.591705,39.983814
116.455984,39.902335
116.472602,40.01367
116.388938,39.991812
116.554552,39.920484
116.489817,39.984985
116.471915,39.92547
116.469297,40.055504
116.454469,39.927344
116.454469,39.927344
116.464122,39.891764
116.454469,39.927344
116.538725,39.942318
116.405043,39.979873
116.455984,39.902335
116.511375,39.906797
116.430217,40.008537
116.51203,39.869095
116.510244,39.930401
116.455984,39.902335
116.456044,39.93221
116.561698,39.971759
116.569157,39.871021
116.548863,39.911496
116.395645,39.929986
116.395645,39.929986
116.594879,39.926163
116.430217,40.008537
116.51203,39.869095
116.480799,39.90383
116.454195,39.954448
116.455984,39.902335
116.622113,39.928658
116.521695,39.958953
116.604332,40.053094
116.483383,40.00549
116.596516,39.920029
116.450047,39.922759
116.465641,39.933945
116.573949,40.010109
116.427661,39.970114
116.407214,40.006533
116.493485,39.968364
116.638702,39.979256
116.467901,39.867327
116.458848,39.916342
116.454469,39.927344
116.482191,40.016974
116.599284,40.051886
116.500322,40.036594
116.375666,40.01642
116.503189,39.93
116.463269,39.874021
116.473853,39.991668
116.668741,40.118684
116.59557,39.982287
116.598139,39.915549
116.511367,40.006761
116.490065,39.985417
116.395645,39.929986
116.464621,39.840488
116.428047,39.986278
116.464014,39.849593
116.48745,39.860806
116.453267,39.944259
116.56107,39.954846
116.491475,39.96908
116.44639,40.053961
116.479153,40.001566
116.502833,40.048359
116.457695,39.880155
116.486217,39.906144
116.490558,39.928044
116.42807,40.045631
116.427941,39.980135
116.593264,39.933001
116.518935,39.932931
116.492042,40.048198
116.521695,39.958953
116.391106,39.96749
116.376524,39.946445
116.391019,39.95786
116.360489,39.879832
116.357123,39.917194
116.354527,39.921231
116.380507,39.937375
116.382341,39.883125
116.3436,39.923523
116.372478,39.89685
116.665375,40.137049
116.394377,39.891477
116.386202,39.910907
116.374959,39.949541
116.391604,39.956674
116.368263,39.927902
116.342695,39.941989
116.390147,39.943275
116.64097,40.310121
116.377693,39.910221
116.383845,39.93289
116.416898,39.870836
116.420049,39.925174
116.425928,39.887069
116.409571,39.906105
116.406569,39.953846
116.436922,39.905947
116.418003,39.935665
116.445968,39.892954
116.450838,39.950528
116.422612,39.905992
116.419248,39.95
116.427682,39.93577
116.404566,39.940801
116.435095,39.964602
116.436265,39.893718
116.427957,39.888397
116.410794,39.896439
116.437708,39.951101
116.305769,39.793573
116.430678,39.891063
116.199484,39.812065
116.323303,39.957016
116.275016,39.8929
116.419773,39.869453
116.327287,39.891279
116.276582,39.844153
116.211141,39.837924
116.287947,39.858904
116.299386,39.822469
116.346425,39.835785
116.443373,39.873418
116.398694,39.864632
116.373548,39.857693
116.294923,39.889071
116.41435,39.849459
116.26419,39.900252
116.428446,39.810514
116.446136,39.867941
116.157775,39.938905
116.184556,39.938867
116.207032,39.919228
116.142281,39.941911
116.203214,39.940694
116.202459,39.924166
116.203281,39.914878
116.657322,39.912275
116.682942,39.800706
116.697524,39.943503
116.692028,39.895761
116.733907,39.945065
116.698465,39.766407
116.824666,39.680255
116.791487,39.723509
116.798685,39.780528
116.657226,39.905251
116.813006,39.862359
116.680301,39.899026
115.862836,39.726753
115.908485,39.58886
116.038218,39.618944
116.085566,39.707916
116.049763,39.594436
116.094851,39.802434
116.222869,39.815446
115.915267,39.625806
116.038939,39.78229
116.22635,39.78082
116.159602,39.741621
116.127001,39.740338
115.862836,39.726753
115.862836,39.726753
116.018255,39.710558
116.136369,39.744597
115.78656,39.545906
115.945498,39.688029
116.306858,39.936012
116.12989,39.600372
116.107733,40.00913
115.706338,39.980805
116.950909,40.153233
116.120716,39.959568
116.109272,39.944203
116.728229,40.154951
116.056236,39.980813
116.675133,40.052422
116.650225,40.319669
116.511182,40.168077
116.648212,40.214086
116.7586,40.145732
116.671775,40.10266
116.395645,39.929986
116.713546,40.047684
116.728229,40.154951
116.613809,40.117085
116.419742,39.928082
116.525166,40.09088
116.4129,40.231912
116.24456,40.226956
116.728229,40.154951
116.37934,40.116529
116.295858,40.215402
116.229229,40.269066
116.395687,39.906909
116.371931,40.289821
116.140563,40.142098
116.269745,40.232768
116.239115,40.213523
116.412995,40.081312
116.340488,39.7303
116.346115,39.776861
116.345746,39.750408
116.368569,39.917327
116.425195,39.65279
116.334989,39.677329
116.284146,39.610518
116.442927,39.784105
116.345065,39.618303
116.344396,39.739318
116.595718,39.696087
116.402458,39.725585
116.523921,39.686047
116.422904,39.67326
116.33473,39.770682
116.339976,39.760879
116.425195,39.65279
116.447284,39.760481
116.406371,39.486229
117.012753,40.070086
117.127395,40.146205
117.058344,40.151649
117.111416,40.158993
117.066036,40.087097
117.150433,40.215925
117.216281,40.208122
117.01409,40.128721
117.150433,40.215925
116.752971,40.800085
116.650225,40.319669
116.645762,40.340114
116.624836,40.906309
116.388766,40.369977
116.634879,40.339375
116.631327,40.293803
116.653556,40.744486
116.689483,40.290869
116.892947,40.396395
116.855512,40.371785
116.843823,40.399529
116.780407,40.406628
117.170815,40.698766
116.828098,40.33373
116.950401,40.383107
117.114435,40.610249
116.959097,40.415695
116.827727,40.378972
115.976958,40.372115
116.161883,40.535476
116.035538,40.439056
116.245015,40.576784
116.054845,40.487417
115.972769,40.466396
116.097068,40.554757
115.865068,40.481409
115.965534,39.725512
115.892812,40.379999
115.980565,39.722291
116.345036,39.898195
116.377737,39.966545
116.395645,39.929986
116.375075,39.917997
116.393811,39.954646
116.339796,39.739891
116.340629,39.888343
116.368569,39.917327
116.34735,39.917972
116.345895,39.887517
116.436693,40.156057
116.391019,39.904523
116.392222,39.978307
116.396776,39.962122
116.395687,39.906909
116.356766,39.942367
116.388426,39.900309
116.367953,39.967404
116.376524,39.946445
116.416064,39.96051
116.420953,39.951486
116.446621,39.943518
116.444996,39.902287
116.449097,39.892129
116.435231,39.928391
116.429953,39.919435
116.420496,39.947333
116.41141,39.922643
116.432751,39.954551
116.411663,39.880809
116.430017,39.961747
116.411836,39.927298
116.42692,39.908545
116.410794,39.896439
116.417382,39.963527
116.452229,39.903194
116.285573,39.855956
116.308939,39.840462
116.42477,39.854484
116.388782,39.809961
116.246862,39.845752
116.271982,39.865312
116.25837,39.841938
116.443858,39.867934
116.443858,39.867934
116.312559,39.935657
116.170556,39.81727
116.45728,39.889157
116.367231,39.870049
116.415506,39.820644
116.377179,39.873738
116.443858,39.867934
116.301436,39.850457
116.287243,39.855088
116.312559,39.935657
116.271982,39.865312
116.219348,39.903626
116.395645,39.929986
116.184556,39.938867
116.137589,39.97055
116.184556,39.938867
116.237769,39.907824
116.545305,39.760251
116.884688,39.821901
116.641103,39.84465
116.707499,39.728147
116.877692,39.714969
116.701361,39.864137
116.782636,39.643267
116.658619,39.914143
116.838942,39.799161
116.653684,39.90738
116.657796,39.757997
116.038178,39.676123
115.927965,39.663093
116.071624,39.742163
116.072909,39.657221
115.862836,39.726753
116.21729,39.699137
115.990273,39.645264
115.824744,39.562861
116.153362,39.743221
115.98468,39.695417
116.159602,39.741621
116.071382,39.729483
115.730036,39.575722
115.957835,39.605295
116.065353,39.72779
116.499453,39.850127
116.134025,39.732203
115.631624,39.949332
116.097289,39.950984
116.032082,39.896077
116.159286,39.733149
116.113749,39.894964
116.013736,39.981279
116.661072,40.159632
116.728229,40.154951
116.579765,40.068599
116.506396,40.101893
116.127498,39.931911
116.665375,40.137049
116.666319,40.146487
116.598577,40.220186
116.728229,40.154951
116.722788,40.137378
116.636331,40.14036
116.833862,40.070483
116.827518,40.160087
116.559505,40.119766
116.663676,40.134281
116.257112,40.2982
116.285115,40.134382
116.663676,40.134281
116.465722,40.226612
116.207913,40.198133
116.382341,39.883125
116.24456,40.226956
116.326377,40.178693
116.413306,40.067894
116.325884,39.762283
116.097519,40.238798
116.339796,39.739891
116.360988,40.226892
116.454681,39.812288
116.321763,39.521879
116.467431,39.566065
116.425195,39.65279
116.477668,39.714397
116.425195,39.65279
116.388556,39.765229
116.354159,39.557056
116.342507,39.795351
116.701386,39.618747
116.362394,39.725013
116.296471,39.784099
116.348052,39.756223
116.492567,39.805174
116.495745,39.800936
116.645494,39.659458
117.193074,40.145317
116.334088,39.931419
117.00911,40.1953
117.116011,40.144534
117.269848,40.230088
117.110835,40.168646
117.075433,40.284274
116.477152,40.4214
116.665618,40.318685
116.720878,40.332476
116.574917,40.70383
116.691838,40.412703
116.565628,40.287059
116.593408,40.638139
116.579898,40.298325
117.166065,40.195546
116.861273,40.386159
117.001201,40.532843
116.971145,40.301616
116.870228,40.392115
116.986904,40.573605
117.18974,40.5157
116.79406,40.3558
117.117149,40.399654
117.114557,40.551719
116.014681,40.481456
117.337418,40.648491
115.99639,40.475172
116.156942,40.57564
116.099827,40.481664
115.96118,40.438597
116.161883,40.535476
115.996716,40.476506
116.161883,40.535476
115.96759,39.761002
116.067845,39.715329
